pattern_id,pattern_type,pattern_source,point_id,x,y,floor_rl,crest_rl
33,Production,auto_grid,8,443746.22969655466,6812834.276592435,185.0,200.0
33,Production,auto_grid,9,443744.28596167936,6812840.247170441,185.0,200.0
33,Production,auto_grid,10,443743.52273172355,6812843.48840932,185.0,200.0
33,Production,auto_grid,11,443743.0647440033,6812846.6213723235,185.0,200.0
33,Production,auto_grid,12,443742.88603477174,6812849.720283866,185.0,200.0
33,Production,auto_grid,13,443742.92683410837,6812851.076605978,185.0,200.0
33,Production,auto_grid,14,443828.9922622578,6812845.332831622,185.0,200.0
33,Production,auto_grid,15,443822.9992364407,6812755.532588629,185.0,200.0
33,Production,auto_grid,16,443753.84559828445,6812760.147715772,185.0,200.0
33,Production,auto_grid,17,443753.8845945248,6812760.513402647,185.0,200.0
34,Production,auto_grid,1,443822.9992364407,6812755.532588629,185.0,200.0
34,Production,auto_grid,2,443828.9922622578,6812845.332831622,185.0,200.0
34,Production,auto_grid,3,443938.74811480445,6812838.00802229,185.0,200.0
34,Production,auto_grid,4,443932.75508898735,6812748.207779297,185.0,200.0
34,Production,auto_grid,5,443822.9992364407,6812755.532588629,185.0,200.0
35,Production,auto_grid,1,443932.75508898735,6812748.207779297,185.0,200.0
35,Production,auto_grid,2,443938.74811480445,6812838.00802229,185.0,200.0
35,Production,auto_grid,3,444048.5039673512,6812830.683212958,185.0,200.0
35,Production,auto_grid,4,444042.510941534,6812740.882969965,185.0,200.0
35,Production,auto_grid,5,443932.75508898735,6812748.207779297,185.0,200.0
36,Production,auto_grid,1,444042.510941534,6812740.882969965,185.0,200.0
36,Production,auto_grid,2,444048.5039673512,6812830.683212958,185.0,200.0
36,Production,auto_grid,3,444158.25981989776,6812823.358403626,185.0,200.0
36,Production,auto_grid,4,444152.2667940808,6812733.558160633,185.0,200.0
36,Production,auto_grid,5,444042.510941534,6812740.882969965,185.0,200.0
37,Production,auto_grid,1,444152.2667940808,6812733.558160633,185.0,200.0
37,Production,auto_grid,2,444158.25981989776,6812823.358403626,185.0,200.0
37,Production,auto_grid,3,444268.01567244454,6812816.0335942935,185.0,200.0
37,Production,auto_grid,4,444262.02264662745,6812726.2333513005,185.0,200.0
37,Production,auto_grid,5,444152.2667940808,6812733.558160633,185.0,200.0
38,Production,auto_grid,1,444262.02264662745,6812726.2333513005,185.0,200.0
38,Production,auto_grid,2,444268.01567244454,6812816.0335942935,185.0,200.0
38,Production,auto_grid,3,444377.7715249912,6812808.708784962,185.0,200.0
38,Production,auto_grid,4,444371.7784991741,6812718.908541969,185.0,200.0
38,Production,auto_grid,5,444262.02264662745,6812726.2333513005,185.0,200.0
39,Production,auto_grid,1,444431.3611408851,6812803.358426569,185.0,200.0
39,Production,auto_grid,2,444432.2048288128,6812790.079989444,185.0,200.0
39,Production,auto_grid,3,444433.5147198829,6812777.42632659,185.0,200.0
39,Production,auto_grid,4,444435.4558293799,6812765.784592122,185.0,200.0
39,Production,auto_grid,5,444438.9838541388,6812753.262904338,185.0,200.0
39,Production,auto_grid,6,444443.86661515845,6812744.487352328,185.0,200.0
39,Production,auto_grid,7,444447.4642125498,6812738.939601718,185.0,200.0
39,Production,auto_grid,8,444451.5907053628,6812733.541874866,185.0,200.0
39,Production,auto_grid,9,444456.3441449665,6812728.347756362,185.0,200.0
39,Production,auto_grid,10,444462.18631112453,6812723.12573251,185.0,200.0
